COUNTRY,R7_H3,UNIT_ECONOMICS,IS_PROFITABLE,AVG_HOUR_CREATED_AT,AVG_UNITS,AVG_REFERENCES,DISCOUNT_RATE,CANCELING_RATE,HUNTER_SALE_RATE,AVG_ORDER_VALUE,AVG_CANCEL_VALUE,NON_PARETO_RATE,AVG_LEAD_TIME,TOTAL_WEIGHT,TOP_BASKET,TOP_CATEGORIES,TOP_ONTIME_TAG,DELAY_MEAN
CO,8766226f5ffffff,-9540283.26049177,0,13.200000,174.000000,2.400000,0.200000,0.600000,0.600000,1926003.53,1605658.97306667,0.333333,24.000000,2246.4,"[
  ""casa_materiales""
]","[
  ""Varillas"",
  ""Derivados del acero""
]","[
  ""Hold"",
  ""On Time"",
  ""Early""
]",0.000000000000
CO,876604c50ffffff,-10553669.0967375,0,13.093750,258.500000,5.750000,0.781250,0.031250,0.468750,4251888.07731912,38125151.54604,0.532609,77.673913,54503.536,"[
  ""casa_materiales"",
  ""acabados_pinturas""
]","[
  ""Herramientas"",
  ""Electricos"",
  ""Pinturas"",
  ""Plomería"",
  ""Quimicos"",
  ""Aseo, Baños y Cocinas"",
  ""Varillas"",
  ""Derivados del acero"",
  ""Ferretería"",
  ""Cementos"",
  ""Drywall""
]","[
  ""On Time"",
  ""Late"",
  ""Early"",
  ""Hold""
]",0.055555555556
CO,87660801bffffff,976721.528532814,1,22.000000,60.000000,8.000000,0.000000,0.000000,0.000000,270834.48,,0.625000,240.000000,75,"[
  ""hogar""
]","[
  ""Ferretería"",
  ""Herramientas""
]","[
  ""On Time""
]",0.000000000000
CO,8766e099bffffff,1831311.30429442,1,13.000000,89.666667,2.666667,0.000000,0.000000,0.000000,284921.812666667,,0.750000,33.000000,180.34,"[
  ""casa_materiales"",
  ""acabados_pinturas""
]","[
  ""Plomería"",
  ""Herramientas"",
  ""Varillas""
]","[
  ""Hold"",
  ""On Time""
]",0.000000000000
CO,8766088a6ffffff,41067340.2400098,1,13.009346,158.579439,3.803738,0.588785,0.102804,0.093458,2752830.27265686,2446991.12090062,0.562654,46.496314,153934.974,"[
  ""casa_materiales""
]","[
  ""Plomería"",
  ""Herramientas"",
  ""Ferretería"",
  ""Pinturas"",
  ""Varillas"",
  ""Quimicos"",
  ""Aseo, Baños y Cocinas"",
  ""Electricos"",
  ""Derivados del acero"",
  ""Cementos""
]","[
  ""On Time"",
  ""Late"",
  ""Early"",
  ""Hold""
]",0.000000000000
CO,8766f1c73ffffff,7461810.57891644,1,13.130435,15.543478,1.608696,0.304348,0.108696,0.217391,242279.641684435,2020621.9469359,0.581081,58.864865,3635.11,"[
  ""casa_materiales"",
  ""acabados_pinturas""
]","[
  ""Electricos"",
  ""Quimicos"",
  ""Derivados del acero"",
  ""Ferretería"",
  ""Varillas"",
  ""Aseo, Baños y Cocinas"",
  ""Cementos"",
  ""Herramientas"",
  ""Plomería"",
  ""Drywall"",
  ""Ladrillos y Gravas"",
  ""Otros""
]","[
  ""On Time"",
  ""Late"",
  ""Hold""
]",0.687500000000
CO,8766f50c9ffffff,-778711.42362794,0,12.000000,149.000000,12.500000,1.000000,1.000000,0.000000,1531105.12136026,1413620.827,0.560000,105.120000,792.98,"[
  ""acabados_pinturas"",
  ""casa_materiales""
]","[
  ""Aseo, Baños y Cocinas"",
  ""Varillas"",
  ""Electricos"",
  ""Herramientas"",
  ""Plomería"",
  ""Otros"",
  ""Ferretería""
]","[
  ""On Time"",
  ""Late""
]",1.500000000000
CO,87660e8d3ffffff,-208175914.704332,0,13.620000,294.300000,2.400000,0.520000,1.180000,0.180000,5335743.65688713,3401039.25162896,0.433333,40.300000,77299.41,"[
  ""casa_materiales""
]","[
  ""Varillas"",
  ""Plomería"",
  ""Herramientas"",
  ""Derivados del acero"",
  ""Ferretería"",
  ""Cementos""
]","[
  ""Late"",
  ""Hold"",
  ""On Time"",
  ""Early""
]",0.637681159420
CO,8766e4282ffffff,-127798078.322496,0,13.450000,55.627273,2.100000,0.527273,0.159091,0.377273,927048.042624478,2106822.8769232,0.417749,79.948052,61208.6425,"[
  ""casa_materiales"",
  ""hogar"",
  ""acabados_pinturas"",
  ""tlapaleria"",
  ""herramientas"",
  ""electricos""
]","[
  ""Herramientas"",
  ""Plomería"",
  ""Electricos"",
  ""Aseo, Baños y Cocinas"",
  ""Varillas"",
  ""Ferretería"",
  ""Derivados del acero"",
  ""Pinturas"",
  ""Quimicos"",
  ""Cementos"",
  ""Tejas"",
  ""Ladrillos y Gravas""
]","[
  ""On Time"",
  ""Hold"",
  ""Late"",
  ""Early""
]",0.541666666667
CO,876619ce5ffffff,5600513.66376597,1,7.500000,369.000000,5.500000,1.000000,0.000000,0.000000,6778853.72387,,0.454545,17.454545,3338.9,"[
  ""casa_materiales""
]","[
  ""Varillas"",
  ""Derivados del acero""
]","[
  ""On Time""
]",0.000000000000
CO,8766f1ce0ffffff,1700979.29689048,1,9.500000,36.000000,1.500000,0.500000,0.000000,1.000000,1059760.65234,,0.333333,24.000000,507,"[
  ""casa_materiales""
]","[
  ""Plomería"",
  ""Varillas"",
  ""Derivados del acero""
]","[
  ""Early"",
  ""On Time""
]",0.000000000000
CO,876608983ffffff,-26079328.0983425,0,13.489362,108.234043,5.617021,0.702128,0.021277,0.212766,2030323.82635413,432282.2,0.734848,80.015152,49541.0735,"[
  ""casa_materiales"",
  ""acabados_pinturas"",
  ""tlapaleria"",
  ""electricos"",
  ""hogar"",
  ""ceramica_piso_paredes""
]","[
  ""Herramientas"",
  ""Electricos"",
  ""Plomería"",
  ""Ferretería"",
  ""Aseo, Baños y Cocinas"",
  ""Quimicos"",
  ""Varillas"",
  ""Derivados del acero"",
  ""Cementos"",
  ""Pinturas""
]","[
  ""On Time"",
  ""Early"",
  ""Late"",
  ""Hold""
]",0.000000000000
CO,87660c6edffffff,5696642.51473302,1,10.666667,69.000000,2.000000,0.666667,0.000000,1.000000,1433698.4184595,,0.166667,32.000000,958.3,"[
  ""casa_materiales""
]","[
  ""Electricos"",
  ""Varillas"",
  ""Plomería""
]","[
  ""On Time"",
  ""Early""
]",0.000000000000
